birth,death,H_k
-330.2877533303347,inf,0.0
-263.7612556839992,1.0,0.0
-257.8565492672234,1.0,0.0
-255.21951336055793,1.0,0.0
-250.25187311986298,1.0,0.0
-265.452443951831,-50.0,0.0
-159.2388143638353,1.0,0.0
-306.6626811335217,-161.91355718407277,0.0
-250.9222987301049,-143.68020044529447,0.0
-160.262285020525,-72.67048919609665,0.0
-215.79620015190258,-130.29197979921864,0.0
-130.04999038831184,-48.373546489791295,0.0
-287.64040050034697,-213.41274563624359,0.0
-282.29417280560364,-210.52315787105226,0.0
-328.977202857584,-265.1980392084376,0.0
-97.12878049270464,-40.0,0.0
-221.29844102478444,-166.1114083980989,0.0
-204.215572373901,-164.04877323527901,0.0
-191.7706964058899,-167.0478973228936,0.0
-257.8565492672234,-238.60008382228202,0.0
-298.1559994365366,-289.03287010303865,0.0
-155.1934276958918,-149.68299836654796,0.0
-147.73286702694156,-142.3411395205195,0.0
-170.07351351694948,-165.67739737212196,0.0
-54.56189146281496,-51.24451190127583,0.0
-251.44780770569466,-249.0,0.0
-199.6722314193939,-197.6486782146544,0.0
-169.2010638264429,-167.36188335460378,0.0
-167.14664220378464,-166.39711535961192,0.0
-167.35590817177624,-166.6433316997713,0.0
-167.0359242797788,-166.33099530754933,0.0
-166.90416411821485,-166.20770138594662,0.0
-168.00297616411441,-167.3349933516597,0.0
-168.5496959356498,-167.91962362987834,0.0
-130.91982279242512,-130.29965464267354,0.0
-130.97327971765844,-130.38404810405297,0.0
-169.59363195591985,-169.00887550658396,0.0
-130.9427355755179,-130.36103712382777,0.0
-151.72672803431834,-151.16216457830973,0.0
-167.80047675736802,-167.2423391369542,0.0
-131.10301293257908,-130.5450113945378,0.0
-170.46993869888027,-169.9235122047564,0.0
-131.04197800704932,-130.50670480860362,0.0
-168.11900546934007,-167.5857989210303,0.0
-73.24616030891995,-72.71863585079137,0.0
-131.30879635424276,-130.78226179417453,0.0
-40.8166632639171,-40.311288741492746,0.0
-171.89822570346675,-171.39719951037708,0.0
-168.94081803992782,-168.43990026119107,0.0
-131.59027319676784,-131.0953851209111,0.0
-131.21737689803132,-130.728726758888,0.0
-73.43023900274328,-72.94518489934754,0.0
-154.82893786369524,-154.35349040433132,0.0
-169.59363195591985,-169.11830178901394,0.0
-131.94695904036593,-131.4838393111488,0.0
-173.09246084101989,-172.62966141425406,0.0
-170.3907274472411,-169.941166289984,0.0
-131.46862743635836,-131.0267148332736,0.0
-73.79024325749306,-73.348483283569,0.0
-73.23933369440222,-72.80109889280519,0.0
-132.3782459469833,-131.94695904036593,0.0
-167.20047846821492,-166.76930173146374,0.0
-167.6305461424021,-167.20047846821492,0.0
-150.33296378372907,-149.90663761154806,0.0
-171.3300907604966,-170.90640713560157,0.0
-174.88853593074649,-174.4706279005151,0.0
-41.6293165929973,-41.23105625617661,0.0
-172.40939649566667,-172.01162751395617,0.0
-131.79529581893277,-131.40015220691336,0.0
-133.3604139165742,-132.9699214108213,0.0
-74.84650960465692,-74.46475676452586,0.0
-176.38594048279472,-176.00568172647155,0.0
-167.6722994414999,-167.29913329123974,0.0
-173.62603491412224,-173.25414857947845,0.0
-133.9589489358587,-133.60014970051492,0.0
-132.19682295728592,-131.84839779079607,0.0
-174.9771413642365,-174.63103962354458,0.0
-75.61084578286372,-75.27283706623525,0.0
-178.53010950537168,-178.1937148162078,0.0
-134.6291201783626,-134.30189872075525,0.0
-176.459627110566,-176.13914953808538,0.0
-132.67252918370102,-132.3706916201619,0.0
-73.40980860893181,-73.10950690573696,0.0
-180.31361568112376,-180.01388835309348,0.0
-76.53757247260981,-76.24303246854758,0.0
-43.01162633521314,-42.720018726587654,0.0
-178.7316424139833,-178.4432682955566,0.0
-180.49930747789588,-180.23595645708434,0.0
-50.47771785649585,-50.21951811795888,0.0
-182.7840255602223,-182.5267103741258,0.0
-133.2216198670471,-132.9661611087573,0.0
-77.62087348130012,-77.3692445355388,0.0
-168.01488029338353,-167.7647161950331,0.0
-40.607881008493905,-40.36087214122113,0.0
-182.3869512876401,-182.14829123546562,0.0
-184.83506160899236,-184.6131089603336,0.0
-44.14748010928823,-43.93176527297759,0.0
-184.39088914585776,-184.17654573804992,0.0
-78.85429601486528,-78.64477096412705,0.0
-133.843191832831,-133.63382805263043,0.0
-186.50737250843463,-186.31693428134759,0.0
-187.608635195718,-187.42731924668826,0.0
-138.1774221788784,-138.0,0.0
-80.23091673413684,-80.06247560499239,0.0
-188.73261509341728,-188.56563843924482,0.0
-168.24089871371942,-168.07438829280326,0.0
-134.5362404707371,-134.3726162579266,0.0
-73.7563556583431,-73.59347797189639,0.0
-189.90787240133042,-189.76037521042164,0.0
-191.06281689538653,-190.91883092036784,0.0
-81.74350127074322,-81.61494961096282,0.0
-168.43990026119107,-168.31518053936787,0.0
-46.389654018972806,-46.2709412050371,0.0
-135.29966740535616,-135.18135966175217,0.0
-192.31484602078956,-192.20041623263984,0.0
-53.907327887774215,-53.81449618829484,0.0
-83.38465086573187,-83.2946576918352,0.0
-195.48913013259843,-195.41238445912276,0.0
-136.13228860193308,-136.0588108135596,0.0
-143.68368035375485,-143.62799170078233,0.0
-85.14693182963201,-85.09406559801923,0.0
-169.04733065032408,-169.0,0.0
-198.11612756158948,-198.07069445023916,0.0
-49.040799340956916,-49.01020301937138,0.0
-137.03284277865654,-137.00364958642524,0.0
-145.0,-144.97241116847025,0.0
-74.27651041883968,-74.24957912338628,0.0
-41.036569057366385,-41.012193308819754,0.0
-169.01183390520322,-169.0,0.0
-201.5365971728212,-201.52667317256046,0.0
-106.07544484940895,-106.06601717798213,0.0
-88.0056816347672,-88.0,0.0
-165.58381563425817,1.0,1.0
-164.97575579460153,1.0,1.0
