birth,death,H_k
-323.19415639850126,inf,0.0
-256.37828110507377,1.0,0.0
-213.643311523818,1.0,0.0
-188.02108567652337,1.0,0.0
-137.88660383955835,1.0,0.0
-290.48622196719833,-155.78294725226087,0.0
-109.50460127028975,1.0,0.0
-219.4637595292629,-128.38971654643044,0.0
-199.14200052951736,-164.12635780603986,0.0
-232.566890841089,-213.5685220472276,0.0
-201.2060210610379,-187.02694828206558,0.0
-225.0,-213.57208254766434,0.0
-196.83448215336801,-189.42478922996938,0.0
-318.3068634048505,-316.66369059481104,0.0
-109.18782710003981,-108.34780684878874,0.0
-108.4597792621339,-107.66689219676539,0.0
-109.40850382729982,-108.61866411644101,0.0
-196.7104580717459,-195.93039507862366,0.0
-232.48868365456656,-231.7379862753766,0.0
-196.5897080874316,-195.84817421224628,0.0
-107.0911099210885,-106.35105491845923,0.0
-196.03481396206314,-195.33998613387178,0.0
-195.5544257481453,-194.89940289238385,0.0
-232.5421883944882,-231.93444384266297,0.0
-194.57603693296292,-193.9687530511619,0.0
-196.1994930299652,-195.59545461067097,0.0
-232.5092596121005,-231.90986935873974,0.0
-196.59288453186113,-196.00949395612406,0.0
-196.1329673427666,-195.5544257481453,0.0
-193.74395487221082,-193.177116056203,0.0
-212.26433053038483,-211.69750529242293,0.0
-232.3694117419471,-231.80343703687896,0.0
-232.43520246387115,-231.87711107249385,0.0
-196.28506728911177,-195.73124123820267,0.0
-195.90825448493524,-195.35574387958448,0.0
-232.14763030617746,-231.61536044094424,0.0
-192.75484503402902,-192.2285562900547,0.0
-195.19193975115746,-194.6732916300597,0.0
-290.3682469202679,-289.8595291567017,0.0
-231.844361570986,-231.34601514830428,0.0
-318.0,-317.5034248182107,0.0
-194.61053987167156,-194.11879410011946,0.0
-191.1841531054179,-190.70578699782408,0.0
-209.0586325440525,-208.58679564771293,0.0
-290.39968553536863,-289.92972608143464,0.0
-193.87504879001523,-193.41046111281096,0.0
-231.46021054367688,-230.99593502652036,0.0
-322.69504831500296,-322.23523965146285,0.0
-290.0468921787221,-289.58726833924834,0.0
-108.926541624761,-108.47810688250223,0.0
-232.19277525532402,-231.75025562398912,0.0
-192.98757811895382,-192.55031743605068,0.0
-230.99593502652036,-230.56580700632423,0.0
-191.95062480836282,-191.54077434629943,0.0
-289.5251987207405,-289.11548720996666,0.0
-230.452438308156,-230.05646446869446,0.0
-231.81571295784389,-231.42349327868737,0.0
-190.76703764251536,-190.3845973020877,0.0
-229.83076065305062,-229.4688793915352,0.0
-189.4399805542063,-189.0848703120299,0.0
-231.35824528326415,-231.01626123751157,0.0
-288.2124631864059,-287.87133753053826,0.0
-187.97289377935903,-187.64495799645866,0.0
-229.13206976969627,-228.80415342352606,0.0
-321.42700505019536,-321.10623159320295,0.0
-290.10946862014686,-289.7971963229019,0.0
-183.96176900473236,-183.6562299348755,0.0
-195.6838605826936,-195.38095952881318,0.0
-213.28397390488885,-212.98581631623009,0.0
-228.35765045176845,-228.06350806855068,0.0
-185.7085860776017,-185.4147100130026,0.0
-230.82126806952428,-230.5293557156196,0.0
-287.23923307810196,-286.9477815430391,0.0
-183.93824651027498,-183.67090677162636,0.0
-182.03197971715787,-181.76469583735164,0.0
-227.50889359326482,-227.24827417348513,0.0
-322.8551769952051,-322.59936306378484,0.0
-286.0882926146014,-285.8457631544451,0.0
-230.20581596860052,-229.96371498629927,0.0
-182.04070249038583,-181.79953542455235,0.0
-226.58728477895153,-226.3598809151292,0.0
-179.38614029808517,-179.16293299188527,0.0
-180.0201161053382,-179.8047072966666,0.0
-194.94969349290773,-194.74548672015604,0.0
-284.7685042773161,-284.57378016916084,0.0
-225.59439264580382,-225.3998444790987,0.0
-229.51305289308442,-229.32041065194352,0.0
-177.88072223632076,-177.69061284208377,0.0
-221.06392513692907,-220.87599765632044,0.0
-319.4746469967359,-319.2868900845804,0.0
-177.18371115759726,-176.99717516378448,0.0
-175.6267957343368,-175.46148874822552,0.0
-224.53185720031357,-224.36975661520958,0.0
-289.6183255887205,-289.4631887989498,0.0
-283.28932188134524,-283.1409850477725,0.0
-174.23070340016346,-174.08613171853594,0.0
-228.74426160849953,-228.6006379601555,0.0
-173.2626214641808,-173.12158779998094,0.0
-223.40137826148393,-223.271273241112,0.0
-170.79246740376638,-170.6751517115042,0.0
-171.77760840116272,-171.66788543978328,0.0
-281.6605225343727,-281.55691889490066,0.0
-222.20470418106723,-222.10610324961962,0.0
-317.8752162636231,-317.77845944745036,0.0
-227.90083267523136,-227.80570535876038,0.0
-168.5438057114295,-168.47372153789104,0.0
-279.89197074540436,-279.8312734368454,0.0
-108.0,-107.94919223867603,0.0
-226.98425294476277,-226.93702348835046,0.0
-200.55619921287143,-200.51710192988926,0.0
-165.86175295809733,-165.8245499540389,0.0
-194.0,-193.9718774714894,0.0
-277.99342133736053,-277.9736887650072,0.0
-288.9461761308376,-288.93080606001024,0.0
-226.0,-225.99609380960283,0.0
-187.09583588178515,1.0,1.0
-186.7576608630458,1.0,1.0
