birth,death,H_k
-344.4488350974641,inf,0.0
-320.6321880285883,18.027756377319946,0.0
-298.1559994365366,10.295630140987,0.0
-292.77465737320915,14.7648230602334,0.0
-271.41296947640507,14.212670403551895,0.0
-265.03584663211126,13.341664064126334,0.0
-327.0244639166923,-58.52349955359813,0.0
-255.44079548889601,3.0,0.0
-326.2529693351464,-96.64884893261792,0.0
-182.60339536821323,10.198039027185569,0.0
-233.03433223454437,-112.50777750893491,0.0
-169.59363195591985,-78.26237921249263,0.0
-255.16269319788896,-193.34942461771124,0.0
-252.3529274646918,-191.4601786273062,0.0
-173.4156855650607,-114.79111463872106,0.0
-330.94561486745823,-283.12894588861803,0.0
-251.7339865810733,-207.50421682462263,0.0
-191.38704240360684,-150.8509197850646,0.0
-123.48279232346505,-105.08092119885512,0.0
-220.7306050369998,-205.19746587129188,0.0
-251.5909378336191,-239.82702099638396,0.0
-111.9866063420086,-105.68348972285122,0.0
-189.274932307477,-183.50476833041697,0.0
-211.9858485842864,-208.92582415776178,0.0
-314.72051092993604,-313.8184188348415,0.0
-205.9368835347374,-205.23401277566055,0.0
-205.9927183179056,-205.30221625691235,0.0
-206.1892334725555,-205.54804791094466,0.0
-59.23681287847955,-58.60034129593445,0.0
-97.41663102366043,-96.79876032264049,0.0
-206.0218435020908,-205.41178155110774,0.0
-184.20097719610501,-183.60010893242955,0.0
-206.52602741543257,-205.93445559206452,0.0
-264.0700664596425,-263.48624252510797,0.0
-184.4911922016875,-183.91846019364124,0.0
-192.20041623263984,-191.637678967368,0.0
-113.44161493913951,-112.89375536317321,0.0
-185.00270268296083,-184.45866745696716,0.0
-207.0024154448445,-206.46065000382035,0.0
-59.481089431852205,-58.9406481131655,0.0
-264.31988196123274,-263.79727064547126,0.0
-206.24742422634034,-205.73040611440985,0.0
-185.73368030596927,-185.21878954360974,0.0
-184.13310403075272,-183.6327857437228,0.0
-207.6174366473105,-207.12556578076016,0.0
-186.6815470259447,-186.19613314996636,0.0
-264.3671689147501,-263.8825496314601,0.0
-306.31519714176767,-305.8512710452582,0.0
-187.8430195668713,-187.38729946290383,0.0
-97.49358953285082,-97.04638066409278,0.0
-264.46360808247323,-264.0170449043016,0.0
-206.6131651178114,-206.1674077054858,0.0
-208.3698634639856,-207.92787210953705,0.0
-192.04166214652486,-191.60375779195982,0.0
-59.665735560705194,-59.22837157984339,0.0
-181.57092278225608,-181.13530854032848,0.0
-206.6204249342257,-206.1892334725555,0.0
-306.4375956047169,-306.00653587791226,0.0
-206.196508214858,-205.7668583615933,0.0
-78.7210264160726,-78.29431652425353,0.0
-97.50897394599124,-97.082439194738,0.0
-189.21416437465774,-188.7882411592417,0.0
-59.481089431852205,-59.0592922409336,0.0
-78.71467461661771,-78.29431652425353,0.0
-182.0604295282201,-181.64801127455263,0.0
-207.1183236703117,-206.7075228432676,0.0
-264.60914572251653,-264.20068130116545,0.0
-205.91260281974002,-205.50669088864237,0.0
-78.79086241436883,-78.39005038906404,0.0
-59.09314681077663,-58.69412236331676,0.0
-306.6023483276017,-306.2041802457961,0.0
-207.18349355100662,-206.7873303662485,0.0
-98.08669634563088,-97.6933979345585,0.0
-209.25821369781403,-208.86598574205422,0.0
-195.77793542685038,-195.386795869117,0.0
-98.00510190801293,-97.6165969494942,0.0
-205.7692882818036,-205.38743875904387,0.0
-78.77182237323191,-78.39005038906404,0.0
-97.12878049270464,-96.74709297958259,0.0
-78.92401408950256,-78.54934754662193,0.0
-98.2344135219425,-97.86214794290998,0.0
-197.02284131541703,-196.65451939886864,0.0
-306.80938707933956,-306.44412214953644,0.0
-205.7668583615933,-205.4093474017188,0.0
-197.80040444852483,-197.44872752185566,0.0
-98.43271813782245,-98.08159868191383,0.0
-60.03332407921454,-59.682493245507096,0.0
-114.20157617125956,-113.85077953180645,0.0
-97.24710792614863,-96.89685237405806,0.0
-79.12016177940993,-78.77182237323191,0.0
-265.2244332636041,-264.8773300982929,0.0
-113.01769772916099,-112.6809655620682,0.0
-198.64037857394453,-198.3053201505194,0.0
-205.90531804691204,-205.5723716845238,0.0
-307.05862632402955,-306.72626232522055,0.0
-79.40403012442127,-79.07591289387686,0.0
-210.92415698539605,-210.60151946270474,0.0
-99.29753269845128,-98.97979591815695,0.0
-81.27115109311545,-80.95677859203639,0.0
-59.135437767890075,-58.82176467941097,0.0
-192.25503894566717,-191.94269978303421,0.0
-113.20777358467925,-112.89818421923357,0.0
-265.4976459405996,-265.1886121235224,0.0
-206.18438350175796,-205.8761763779384,0.0
-209.45882650296693,-209.15305400591214,0.0
-184.2878183711555,-183.98369492974098,0.0
-60.207972893961475,-59.90826320300064,0.0
-307.34996339677673,-307.0504844484047,0.0
-254.09643838511394,-253.7971631047124,0.0
-115.43396380615195,-115.13470371699404,0.0
-99.62429422585637,-99.32774033471213,0.0
-209.69501663129716,-209.40391591371923,0.0
-79.61155694998057,-79.32212806020776,0.0
-206.60348496576722,-206.32013958894075,0.0
-254.89017242726328,-254.6075411294803,0.0
-250.44959572736389,-250.16994223927063,0.0
-264.0378760708395,-263.7612556839992,0.0
-82.28000972289685,-82.00609733428362,0.0
-212.13203435596427,-211.85844330590177,0.0
-265.81948762270986,-265.5484889808262,0.0
-210.50890717496966,-210.23796041628637,0.0
-116.48175822848829,-116.21101496846157,0.0
-97.3498844375277,-97.082439194738,0.0
-307.68327871367984,-307.4166553718259,0.0
-60.67124524847005,-60.40695324215582,0.0
